email_subject,email_open_user_count,sent_user_count,open_rate
Can you smell what The Rock is cooking?,71550,182821,39.14
Go Monochrome! Shop Black & white shirts,90103,240445,37.47
Dress up for work! Shop Office wear essentials,89214,246502,36.19
Hey Sharer! It's a brand new TV for you this time!,716,2011,35.6
Trend Alert: Tropical Floral Kurtas for Monsoon,97827,275391,35.52
Here's how to win big in October!,857,2414,35.5
Summer whites for hot days,176904,505422,35
"Hi{user_first_name}, Season's favourite Floral kurtas for you",25546,73489,34.76
We have something for you {user_first_name},5753,16620,34.61
🎀 Shop Our Bestselling Styles,30450,88336,34.47
What's Good? The Big Price Drop,19576,56980,34.36
Summer ready sarees Flat 70% off,89344,261185,34.21
So. Many. Tees. Handpicked For You.,66181,195670,33.82
"Happy Birthday, Superman! Steal his style",108109,321155,33.66
To hard to believe😱,695,2100,33.1
Ready? Set.. SHARE,772,2346,32.91
Meet The Perfect Top!,30278,92885,32.6
Go on a shopping spree at The Price store,103284,320500,32.23
We can't wait to Congratulate you☺,723,2253,32.09
Hit The Jackpot 🎰,19973,62998,31.7
Hot new kurtas by Kargha #LimeroadLaunch,83677,264959,31.58
Limeroad Exclusives at never before discounts,105159,337199,31.19
"Today, Think NEW! Gingham Checks!",27444,88425,31.04
#TrendingRightNow - Denim shoes,65580,212157,30.91
The Best Off-Shoulder Tops & Dresses You Will See,2093,6833,30.63
A Brand New TV is just one click away,701,2293,30.57
New month & a new surprise🎁,1024,3367,30.41
"{user_first_name}, Hit The Jackpot 🎰",2059,6875,29.95
Do what you're best at. Inspire!,1061,3567,29.74
All things nice and warm inside,684,2312,29.58
Kurta dresses for the best-dressed at work,143838,490557,29.32
12 days gone. Still waiting?,726,2490,29.16
"Congratulations to the winners of the ""Lucky 7"" Contest!!!!!!",797,2740,29.09
Clap along! It's The Happy Sale!,61233,211832,28.91
Let the world discover your Style. Start Sharing,1259,4375,28.78
Check out your plan for tonight!!,659,2297,28.69
Share the love❤,741,2585,28.67
Handpicked Kurtas for summer,136215,475759,28.63
NEW Rugby Tees are here!,15086,52885,28.53
"Sharing is fun, sharing is easy",1073,3784,28.36
6 types of tees for you,138328,489463,28.26
Care to share?,1071,3808,28.12
60% OFF on NEW ARRIVALS,15098,53750,28.09
You're one step away from winning a Brand New TV,1047,3739,28
2 things you can only share with your bestie,947,3404,27.82
Sharing! Tick this off your Sunday checklist,753,2725,27.63
Congratulations! You have just received {amt_credited} purchase credits.,2880,10424,27.63
4 Key Pieces for the new season,134553,490583,27.43
"If four was more, you could have waited",696,2554,27.25
Dress Like You’re Already Famous,15011,55575,27.01
Malhotra's look is apt for Work From Home,15461,57701,26.8
Next Thing For You: A Microwave Oven!,551,2065,26.68
ALL NEW summer shorts!,15440,58105,26.57
Somethings never come back,695,2625,26.48
Summer tees for warm weather,79076,300477,26.32
Gold Digging?Get the Gold,649,2485,26.12
"Hi{user_first_name}, New lingerie just arrived!",38880,148849,26.12
Hooded t-shirts under 499!,171347,658001,26.04
It's all about winning GOLD,669,2575,25.98
Hot new kurtas by Kargha,3657,14074,25.98
It's the last month of 2018.,735,2830,25.97
"{user_first_name}, Must-have Casual Shirts",110998,427677,25.95
Get dress for work,117800,455891,25.84
Our Bestselling Tops Are Here,15687,60920,25.75
Cotton silk sarees for summer,67089,260642,25.74
kurtas for work to weekend,44772,175380,25.53
Share & Inspire❤,831,3262,25.48
"It's a ""Share"" kinda day",616,2418,25.48
Bestselling sarees for Summer,43413,170800,25.42
Everyday t-shirts at flat 449!,221174,876417,25.24
7 outfits. 7 Hrs! Are you lucky to win?,684,2740,24.96
"Hi{user_first_name}, 2018's hottest trends are here!",41371,166962,24.78
Layers for the winter season! Shop shrugs!,5789,23361,24.78
All things grey & white for your wardrobe,209535,846266,24.76
New arrival bhagalpuri sarees,150939,609814,24.75
The hottest Rani Pink sarees,51588,208488,24.74
FLAT 70% off: shop 200+ kurtas,40854,165178,24.73
Head to toe in style,114514,463708,24.7
Bzzzz.......Don't be a busy bee,986,4001,24.64
Kargha! Exclusively on Limeroad,127882,525472,24.34
Everyday Kurtas at best ever prices,161993,667058,24.28
Playful Flared Kurtas Just For You,157607,651050,24.21
Hey! It's a Sweet One,51565,213172,24.19
Are we seriously breaking up💔,538,2229,24.14
"{user_first_name}, Freshly brewed styles handpicked for you",127313,529222,24.06
{likers_name1} liked your look,4532,18882,24
They're new. They're trending.,4112,17172,23.95
The denim fest! everything under 999,207521,867643,23.92
Budget Buys: Kurtas handpicked for you,207631,868036,23.92
Check out Siddhant Chaturvedi's sporty looks,13900,58434,23.79
New Polka dots tees are IN,13996,58880,23.77
200+ Best-selling Kurtas | Free Delivery,125948,531748,23.69
Sharing is cheaper than therapy,668,2824,23.65
"{user_first_name}, everything that's hot & trending",198687,843984,23.54
Tuesday's best handpicked styles for you,56606,240787,23.51
Win a....?,518,2208,23.46
Hand-Picked Shoes Just For You!,194005,827636,23.44
Trousers in beige & brown,144154,616818,23.37
"{user_first_name}, Experience Extra 15% off on all orders! Only on updated app!",95715,410574,23.31
200+ Traditional sarees we love,101977,438044,23.28
Casual trousers for work & Play! Fill those carts NOW!,200761,865337,23.2
Denims in the shade of Black & grey,123006,531864,23.13
Shawn D'souza is crushing on T-shirts!,228325,989292,23.08
All about prints & checks! Shop casual shirts,122678,531880,23.06
Share today and keep your worries away,512,2225,23.01
The hottest offers for Sunday | Free Delivery,290559,1264348,22.98
It's a Dussehra special! Get In,230153,1003745,22.93
Top 20: Best New Picks,43809,191279,22.9
"Play with lines , Get casual shirts | Free shipping",218300,953068,22.9
Things We Loved In #SonamKiMehendi,21551,95041,22.68
Twirl in Dresses!,38353,170062,22.55
"Hi{user_first_name}, New Styled Bottoms for a Trendy Look",119290,529498,22.53
Naughty Knotted! Shop Shop,60880,270561,22.5
New Tops Alert! Get Shopping!,25156,111949,22.47
So. Many. Tees. Flat 399,237755,1058287,22.47
Editor's picks - tanchoi banarasi sarees,133136,593713,22.42
Start Working Out ! Upto 60% off on sport shoes,195810,875496,22.37
